"Player","Role_Type","Mat","Runs","SR","Avg","B_Wkts","B_Econ","TotalValue","optimal_bid","TotalValue_cr","optimal_bid_cr"
"JEC Franklin","Batsman",16,327,109,29.73,9,8.74,2814723.54110851,281472.354110851,0.28,0.03
"JG Bethell","Batsman",2,67,171.79,33.5,0,9.29654545454545,10696782.7589234,1069678.27589234,1.07,0.11
"JH Kallis","All rounder",95,2419,109.31,29.14,65,7.9,80664316.5710845,8066431.65710845,8.07,0.81
"JJ Bumrah","Bowler",27,68,87.18,11.33,186,7.25,95564113.678506,9556411.3678506,9.56,0.96
"JJ Roy","Batsman",21,614,139.23,34.11,0,9.29654545454545,12868546.1072517,1286854.61072517,1.29,0.13
"JJ van der Wath","Batsman",3,18,112.5,9,3,10.75,16708434.4597696,1670843.44597696,1.67,0.17
"JL Denly","Batsman",1,0,0,0,0,9.29654545454545,2e+05,20000,0.02,0
"JL Pattinson","Batsman",2,15,115.38,15,11,9.01,11019014.1419131,1101901.41419131,1.1,0.11
"JM Bairstow","Batsman",52,1672,146.41,35.57,0,9.29654545454545,39130209.7247262,3913020.97247262,3.91,0.39
"JM Kemp","Batsman",2,26,108.33,13,3,7.36,346983.356083315,34698.3356083315,0.03,0
"JM Sharma","Batsman",47,984,156.69,25.23,0,9.29654545454545,34151146.8569716,3415114.68569716,3.42,0.34
"JO Holder","All rounder",27,259,123.92,12.33,53,8.81,43857674.931976,4385767.4931976,4.39,0.44
"JP Behrendorff","Batsman",2,6,66.67,3,19,9.05,9244952.17301634,924495.217301634,0.92,0.09
"JP Duminy","All rounder",75,2026,124.22,42.21,23,7.38,41024364.9369803,4102436.49369803,4.1,0.41
"JP Faulkner","All rounder",45,524,136.1,20.96,61,8.72,51314553.0243248,5131455.30243248,5.13,0.51
"JP Inglis","Batsman",11,278,162.57,34.75,0,9.29654545454545,11800829.0816562,1180082.90816562,1.18,0.12
"JPR Scantlebury-Searles","Batsman",2,8,133.33,8,2,12.71,30315861.9401467,3031586.19401467,3.03,0.3
"JR Hazlewood","Bowler",7,19,65.52,2.71,57,8.28,27437554.5438082,2743755.45438082,2.74,0.27
"JR Hopes","Batsman",19,417,136.72,26.06,14,9.13,20752508.6706796,2075250.86706796,2.08,0.21
"JR Philippe","Batsman",5,78,101.3,19.5,0,9.29654545454545,2e+05,20000,0.02,0
"Jaskaran Singh","Batsman",4,8,72.73,8,6,10.06,3801383.40646596,380138.340646596,0.38,0.04
"Joginder Sharma","Batsman",5,36,120,9,12,9.82,21118471.0529683,2111847.10529683,2.11,0.21
"K Goel","Batsman",16,218,94.37,16.77,0,8.45,2e+05,20000,0.02,0
"K Gowtham","All rounder",27,247,168.03,13.72,21,8.24,36969020.386939,3696902.0386939,3.7,0.37
"K Kartikeya","Batsman",4,12,70.59,4,12,8.66,4632004.02892638,463200.402892638,0.46,0.05
"K Rabada","All rounder",30,215,107.5,13.44,122,8.61,73728755.4110192,7372875.54110192,7.37,0.74
"K Upadhyay","Batsman",2,12,133.33,6,0,9,17645609.7620581,1764560.97620581,1.76,0.18
"K Yadav","Batsman",1,0,0,0,2,9.33,2e+05,20000,0.02,0
"KA Jamieson","Batsman",9,65,108.33,21.67,14,9.67,8740801.47715816,874080.147715816,0.87,0.09
"KA Maharaj","Batsman",1,1,50,1,2,6.5,2e+05,20000,0.02,0
"KA Pollard","All rounder",168,3411,147.34,28.66,69,8.79,122036492.677162,12203649.2677162,12.2,1.22
"KAJ Roach","Batsman",1,10,111.11,10,0,10,10978433.6930262,1097843.36930262,1.1,0.11
"KB Arun Karthik","Batsman",8,51,100,10.2,0,9.29654545454545,5757199.53534741,575719.953534741,0.58,0.06
"KC Cariappa","Batsman",5,24,114.29,8,8,9.67,17081453.1555452,1708145.31555452,1.71,0.17
"KC Sangakkara","Batsman",68,1680,121.3,25.85,0,9.29654545454545,38954641.5349083,3895464.15349083,3.9,0.39
"KD Karthik","Batsman",233,4824,135.13,27.88,0,9.29654545454545,116418280.814079,11641828.0814079,11.64,1.16
"KH Pandya","All rounder",114,1748,132.12,22.7,93,7.47,90784860.0832594,9078486.00832594,9.08,0.91
"KJ Abbott","Batsman",3,13,162.5,13,2,11.06,29896946.0330445,2989694.60330445,2.99,0.3
"KK Ahmed","Bowler",6,2,22.22,0.4,89,8.98,35078817.6704121,3507881.76704121,3.51,0.35
"KK Cooper","Bowler",12,115,171.64,12.78,33,7.89,41026668.2408561,4102666.82408561,4.1,0.41
"KK Nair","Batsman",76,1689,131.64,24.84,0,9.29654545454545,43242753.9264122,4324275.39264122,4.32,0.43
"KL Nagarkoti","Batsman",7,22,66.67,5.5,5,9.5,1621612.87859285,162161.287859285,0.16,0.02
"KL Rahul","Batsman",135,5226,136.24,47.51,0,9.29654545454545,110950673.650273,11095067.3650273,11.1,1.11
"KM Asif","Batsman",1,0,0,0,7,10.42,2e+05,20000,0.02,0
"KM Jadhav","Batsman",81,1191,122.91,23.35,0,9.29654545454545,29810657.9927927,2981065.79927927,2.98,0.3
"KMA Paul","Batsman",5,18,75,4.5,9,8.72,4357990.70380692,435799.070380692,0.44,0.04
"KMDN Kulasekara","Batsman",1,5,166.67,5,5,7.06,24660928.5649636,2466092.85649636,2.47,0.25
"KP Appanna","Batsman",3,2,50,2,9,7.94,2e+05,20000,0.02,0
"KP Pietersen","Batsman",36,1000,134.77,38.46,7,7.41,14307858.2902146,1430785.82902146,1.43,0.14
"KR Mayers","Batsman",13,373,144.57,28.69,0,8.43,9992238.70884415,999223.870884415,1,0.1
"KR Sen","Batsman",1,0,0,0,14,9.63,2e+05,20000,0.02,0
"KS Bharat","Batsman",8,198,122.98,28.29,0,9.29654545454545,2385054.05293483,238505.405293483,0.24,0.02
"KS Rathore","Batsman",1,0,0,0,0,9.29654545454545,2e+05,20000,0.02,0
"KS Sharma","Batsman",3,16,64,5.33,0,9.29654545454545,2e+05,20000,0.02,0
"KS Williamson","Batsman",76,2128,125.77,36.69,0,10.33,46214783.0938029,4621478.30938029,4.62,0.46
"KT Maphaka","Batsman",1,8,400,8,2,13,116039188.311016,11603918.8311016,11.6,1.16
"KV Sharma","All rounder",40,352,119.32,14.67,83,8.38,57636246.7417297,5763624.67417297,5.76,0.58
"KW Richardson","Batsman",4,36,92.31,12,19,8.45,8913971.62918895,891397.162918895,0.89,0.09
"Kamran Akmal","Batsman",6,124,161.04,31,0,9.29654545454545,10593404.4720341,1059340.44720341,1.06,0.11
"Kamran Khan","Batsman",1,3,60,3,10,8.64,673434.656154066,67343.4656154066,0.07,0.01
"Karanveer Singh","Batsman",4,12,70.59,12,12,9.44,1152712.07266201,115271.207266201,0.12,0.01
"Kartik Tyagi","Batsman",6,13,81.25,3.25,15,10.14,15548749.691005,1554874.9691005,1.55,0.16
"Kuldeep Yadav","All rounder",37,201,86.64,16.75,102,8.08,51358098.8473119,5135809.88473119,5.14,0.51
"Kumar Kushagra","Batsman",3,3,42.86,1,0,9.29654545454545,2e+05,20000,0.02,0
"L Ablish","Batsman",1,0,0,0,3,10.71,2e+05,20000,0.02,0
"L Balaji","Bowler",13,36,73.47,5.14,76,8.05,38027894.0886087,3802789.40886087,3.8,0.38
"L Ngidi","Bowler",1,0,0,0,29,8.53,2e+05,20000,0.02,0
"L Ronchi","Batsman",5,34,100,11.33,0,9.29654545454545,4468933.01750357,446893.301750357,0.45,0.04
"L Wood","Batsman",1,9,300,9,1,15.5,91896038.9898976,9189603.89898976,9.19,0.92
"LA Carseldine","Batsman",5,80,121.21,26.67,1,6,2e+05,20000,0.02,0
"LA Pomersbach","Batsman",16,301,123.87,30.1,0,9.29654545454545,3696768.26898866,369676.826898866,0.37,0.04
"LB Williams","Batsman",1,1,50,1,1,12,6085533.62709659,608553.362709659,0.61,0.06
"LE Plunkett","Batsman",2,1,33.33,1,4,9,2e+05,20000,0.02,0
"LH Ferguson","Bowler",8,68,147.83,22.67,54,8.96,39902891.736995,3990289.1736995,3.99,0.4
"LJ Wright","Batsman",5,102,172.88,25.5,2,10.48,23452348.8827042,2345234.88827042,2.35,0.23
"LMP Simmons","Batsman",29,1079,127.24,41.5,1,11.33,22120403.3864477,2212040.33864477,2.21,0.22
"LPC Silva","Batsman",3,40,153.85,20,0,21,56685388.2116519,5668538.82116519,5.67,0.57
"LR Shukla","Batsman",33,405,115.71,15,15,8.54,20894404.6792705,2089440.46792705,2.09,0.21
"LRPL Taylor","Batsman",54,1010,123.47,26.58,0,12,32808079.101454,3280807.9101454,3.28,0.33
"LS Livingstone","Batsman",47,1035,158.02,27.24,13,9.02,40329813.5429693,4032981.35429693,4.03,0.4
"Lalit Yadav","Batsman",21,294,103.16,19.6,10,8.85,9045268.01539062,904526.801539062,0.9,0.09
"Liton Das","Batsman",1,4,100,4,0,9.29654545454545,9494467.38863786,949446.738863786,0.95,0.09
"M Ashwin","Bowler",12,35,70,4.38,35,8.01,14945112.6421454,1494511.26421454,1.49,0.15
"M Jansen","Bowler",20,141,109.3,12.82,36,9.41,28878192.7886849,2887819.27886849,2.89,0.29
"M Kaif","Batsman",22,259,104.02,16.19,0,9.29654545454545,7284254.36409819,728425.436409819,0.73,0.07
"M Kartik","Bowler",14,112,104.67,18.67,31,7.25,11699779.4721119,1169977.94721119,1.17,0.12
"M Klinger","Batsman",4,72,96,18,0,9.29654545454545,2e+05,20000,0.02,0
"M Manhas","Batsman",38,514,109.36,22.35,0,6,2e+05,20000,0.02,0
"M Markande","Bowler",10,48,114.29,16,37,8.91,24527630.8889303,2452763.08889303,2.45,0.25
"M Morkel","Bowler",20,122,137.08,12.2,77,7.69,54006742.3238029,5400674.23238029,5.4,0.54
"M Muralitharan","Bowler",9,20,68.97,3.33,64,6.7,26259952.9100327,2625995.29100327,2.63,0.26
"M Ntini","Batsman",2,11,61.11,11,7,6.91,2e+05,20000,0.02,0
"M Prasidh Krishna","Bowler",7,9,37.5,4.5,75,8.77,28486908.3385289,2848690.83385289,2.85,0.28
"M Rawat","Batsman",11,55,79.71,11,0,9.29654545454545,2e+05,20000,0.02,0
"M Shahrukh Khan","Batsman",48,732,149.39,24.4,1,9.33,27164240.7623994,2716424.07623994,2.72,0.27
"M Theekshana","Bowler",6,17,50,5.67,36,8.27,8630564.30208687,863056.430208687,0.86,0.09
"M Tiwari","Batsman",1,3,75,3,0,14,19096542.4242448,1909654.24242448,1.91,0.19
"M Vijay","Batsman",105,2619,121.98,28.47,0,8.17,55398455.2220346,5539845.52220346,5.54,0.55
"M Vohra","Batsman",51,1083,130.8,23.04,0,9.29654545454545,29994340.8120638,2999434.08120638,3,0.3
"M de Lange","Batsman",1,1,50,1,5,9.39,2e+05,20000,0.02,0
"MA Agarwal","Batsman",125,2746,133.76,23.67,0,9.29654545454545,69932496.4452957,6993249.64452957,6.99,0.7
"MA Khote","Batsman",3,24,109.09,12,2,10.2,10910535.4492119,1091053.54492119,1.09,0.11
"MA Starc","Bowler",21,111,93.28,11.1,65,8.67,37634635.2131097,3763463.52131097,3.76,0.38
"MA Wood","Batsman",3,12,150,6,11,8.95,28773468.2614443,2877346.82614443,2.88,0.29
"MC Henriques","All rounder",54,996,126.88,27.67,42,8.14,41888188.3316738,4188818.83316738,4.19,0.42
"MC Juneja","Batsman",7,125,97.66,17.86,0,9.29654545454545,775076.056088403,77507.6056088403,0.08,0.01
"MD Mishra","Batsman",17,235,114.08,15.67,0,9.29654545454545,10316219.8931844,1031621.98931844,1.03,0.1
"MD Shanaka","Batsman",3,26,100,13,0,9.29654545454545,2971676.11742291,297167.611742291,0.3,0.03
"MDKJ Perera","Batsman",2,14,107.69,7,0,9.29654545454545,9825705.19641484,982570.519641484,0.98,0.1
"MEK Hussey","Batsman",58,1976,122.73,40.33,0,9.29654545454545,35102910.2183846,3510291.02183846,3.51,0.35
"MF Maharoof","Bowler",14,177,143.9,17.7,27,7.43,24917239.565706,2491723.9565706,2.49,0.25
"MG Bracewell","Batsman",4,58,123.4,29,6,8.64,2e+05,20000,0.02,0
"MG Johnson","Bowler",28,166,101.84,12.77,62,8.3,37392005.7615652,3739200.57615652,3.74,0.37
"MJ Clarke","Batsman",6,98,104.26,19.6,2,6.09,2e+05,20000,0.02,0
"MJ Guptill","Batsman",13,265,135.2,22.08,0,9.29654545454545,12718115.2533788,1271811.52533788,1.27,0.13
"MJ Lumb","Batsman",12,278,145.55,27.8,0,9.29654545454545,11836128.3121004,1183612.83121004,1.18,0.12
"MJ McClenaghan","Bowler",19,84,121.74,7.64,71,8.49,51377379.0828399,5137737.90828399,5.14,0.51
"MJ Owen","Batsman",1,0,0,0,0,9.29654545454545,2e+05,20000,0.02,0
"MJ Santner","Bowler",19,109,105.83,13.62,25,7.31,12884768.9780775,1288476.89780775,1.29,0.13
"MJ Suthar","Batsman",1,1,50,1,0,13,9107083.18076678,910708.318076678,0.91,0.09
"MK Lomror","Batsman",35,526,141.4,18.79,1,8.47,21057849.3545494,2105784.93545494,2.11,0.21
"MK Pandey","Batsman",160,3932,121.4,29.79,0,9.29654545454545,89380439.4246764,8938043.94246764,8.94,0.89
"MK Tiwary","Batsman",83,1685,116.69,30.09,1,11.86,43983528.4454409,4398352.84454409,4.4,0.44
"ML Hayden","Batsman",32,1096,137.17,42.15,0,9.29654545454545,17366662.55514,1736666.255514,1.74,0.17
"MM Ali","All rounder",59,1165,140.19,23.3,41,7.23,49755695.3724274,4975569.53724275,4.98,0.5
"MM Patel","Bowler",12,39,95.12,7.8,74,7.52,39908211.5339309,3990821.15339309,3.99,0.4
"MM Sharma","Bowler",30,125,91.91,7.35,134,8.77,78537451.0712391,7853745.10712391,7.85,0.79
"MN Samuels","Batsman",14,161,93.6,14.64,9,7.96,3011378.87731397,301137.887731397,0.3,0.03
"MN van Wyk","Batsman",5,163,124.43,54.33,0,9.29654545454545,2e+05,20000,0.02,0
"MP Breetzke","Batsman",1,14,116.67,14,0,9.29654545454545,7197937.27634185,719793.727634185,0.72,0.07
"MP Stoinis","All rounder",99,2016,144.83,28.8,44,9.79,77906633.2145845,7790663.32145845,7.79,0.78
"MR Marsh","All rounder",49,1292,143.24,29.36,37,8.52,51412997.33076,5141299.733076,5.14,0.51
"MS Bhandage","Batsman",1,1,25,1,0,9.29654545454545,2e+05,20000,0.02,0
"MS Bisla","Batsman",39,794,113.43,22.06,0,9.29654545454545,18382266.6186471,1838226.66186471,1.84,0.18
"MS Dhoni","Batsman",241,5409,137.46,38.91,0,9.29654545454545,122415927.735593,12241592.7735593,12.24,1.22
"MS Gony","Bowler",15,99,141.43,11,37,8.7,37522510.3100704,3752251.03100704,3.75,0.38
"MS Wade","Batsman",14,183,103.39,14.08,0,9.29654545454545,6931120.80058732,693112.080058732,0.69,0.07
"MV Boucher","Batsman",23,387,126.06,27.64,0,9.29654545454545,8360202.99105208,836020.299105208,0.84,0.08
"MW Short","Batsman",6,117,127.17,19.5,0,6.25,2e+05,20000,0.02,0
"Mandeep Singh","Batsman",97,1705,123.1,21.58,0,13,56676883.0304402,5667688.30304402,5.67,0.57
"Mashrafe Mortaza","Batsman",1,2,100,2,0,14.5,29579110.930978,2957911.0930978,2.96,0.3
"Mayank Dagar","Batsman",1,0,0,0,2,8.89,2e+05,20000,0.02,0
"Misbah-ul-Haq","Batsman",8,117,144.44,16.71,0,9.29654545454545,16341630.3380784,1634163.03380784,1.63,0.16
"Mohammad Ashraful","Batsman",1,2,20,2,0,9.29654545454545,2e+05,20000,0.02,0
"Mohammad Asif","Batsman",2,3,50,1.5,8,9.25,2e+05,20000,0.02,0
"Mohammad Hafeez","Batsman",8,64,77.11,9.14,2,6.8,2e+05,20000,0.02,0
"Mohammad Nabi","Batsman",19,215,142.38,14.33,15,7.44,21451831.1476398,2145183.11476398,2.15,0.21
"Mohammed Shami","Bowler",27,84,94.38,6,133,8.62,78323240.9129975,7832324.09129975,7.83,0.78
"Mohammed Siraj","Bowler",21,112,92.56,12.44,109,8.74,60679482.6923373,6067948.26923373,6.07,0.61
"Mohit Rathee","Batsman",1,1,50,1,0,14.5,14459257.8891001,1445925.78891001,1.45,0.14
"Mohsin Khan","Bowler",5,25,104.17,12.5,27,8.51,16614452.5338225,1661445.25338225,1.66,0.17
"Mujeeb Ur Rahman","Batsman",6,12,80,4,20,8.34,10851152.7565066,1085115.27565066,1.09,0.11
"Mukesh Choudhary","Batsman",2,6,100,3,17,9.94,21912322.652265,2191232.2652265,2.19,0.22
"Mukesh Kumar","Bowler",5,10,55.56,10,37,10.4,14987188.5082154,1498718.85082154,1.5,0.15
"Musheer Khan","Batsman",1,0,0,0,1,13.5,2e+05,20000,0.02,0
"Mustafizur Rahman","Bowler",7,13,54.17,6.5,65,8.13,24561055.1983723,2456105.51983724,2.46,0.25
"N Jagadeesan","Batsman",10,162,110.2,18,0,9.29654545454545,5526553.64860459,552655.364860459,0.55,0.06
"N Pooran","Batsman",86,2288,168.86,35.75,0,9.29654545454545,60747098.0473068,6074709.80473068,6.07,0.61
"N Rana","Batsman",112,2838,136.51,28.1,10,8.44,71932160.6509647,7193216.06509647,7.19,0.72
"N Saini","Batsman",10,140,100,14,0,9.29654545454545,4896033.25644597,489603.325644597,0.49,0.05
"N Wadhera","Batsman",31,718,143.6,27.62,0,7.76,16323869.9115464,1632386.99115464,1.63,0.16
"ND Doshi","Batsman",1,0,0,0,2,8.46,2e+05,20000,0.02,0
"NJ Maddinson","Batsman",3,20,95.24,6.67,0,9.29654545454545,6272663.93194517,627266.393194517,0.63,0.06
"NJ Rimmington","Batsman",1,1,100,1,0,6.33,1186655.18604457,118665.518604457,0.12,0.01
"NK Patel","Batsman",6,121,101.68,30.25,0,9.29654545454545,2e+05,20000,0.02,0
"NL McCullum","Batsman",2,26,118.18,26,0,6.8,2e+05,20000,0.02,0
"NLTC Perera","All rounder",30,421,137.58,19.14,31,8.73,34402000.7256128,3440200.07256128,3.44,0.34
"NM Coulter-Nile","Bowler",16,82,113.89,8.2,48,7.7,33008675.6184854,3300867.56184854,3.3,0.33
"NS Naik","Batsman",4,31,62,7.75,0,9.29654545454545,2e+05,20000,0.02,0
"NT Ellis","Batsman",5,19,76,4.75,19,8.67,9790878.5480251,979087.85480251,0.98,0.1
"NV Ojha","Batsman",94,1543,117.97,21.43,0,9.29654545454545,38103753.4123657,3810375.34123657,3.81,0.38
"Naman Dhir","Batsman",19,392,181.48,28,0,8.77,23918536.1394209,2391853.61394209,2.39,0.24
"Navdeep Saini","Bowler",7,33,89.19,8.25,24,8.71,14447942.2282242,1444794.22282242,1.44,0.14
"Naveen-ul-Haq","Bowler",4,18,75,18,25,9.16,4105194.16565865,410519.416565865,0.41,0.04
"Nithish Kumar Reddy","Batsman",22,484,132.97,28.47,5,10.96,20876636.6816929,2087663.66816929,2.09,0.21
"Noor Ahmad","Bowler",11,20,57.14,2.5,48,8.08,19331659.4710188,1933165.94710188,1.93,0.19
"OA Shah","Batsman",22,505,130.15,42.08,0,9.29654545454545,1157572.63413648,115757.263413648,0.12,0.01
"OC McCoy","Batsman",1,8,160,8,11,9.32,31608859.3602067,3160885.93602067,3.16,0.32
"OF Smith","Batsman",6,51,115.91,17,6,11.87,17948596.0209281,1794859.60209281,1.79,0.18
"P Awana","Bowler",5,5,35.71,2.5,39,8.27,7928593.72815847,792859.372815847,0.79,0.08
"P Chopra","Batsman",1,8,133.33,8,0,9.29654545454545,17043124.7122245,1704312.47122245,1.7,0.17
"P Dogra","Batsman",12,127,92.03,15.88,0,9.29654545454545,584554.595806558,58455.4595806558,0.06,0.01
"P Dubey","Batsman",2,23,69.7,23,2,8.54,2e+05,20000,0.02,0
"P Kumar","All rounder",57,338,108.33,9.94,90,7.73,59022954.5328063,5902295.45328063,5.9,0.59
"P Negi","All rounder",35,364,126.39,16.55,34,7.87,30093300.8971224,3009330.08971224,3.01,0.3
"P Parameswaran","Batsman",2,1,50,0.5,9,8.73,2e+05,20000,0.02,0
"P Ray Barman","Batsman",1,19,79.17,19,0,14,8275950.0944662,827595.00944662,0.83,0.08
"P Sahu","Batsman",2,19,146.15,9.5,3,8.34,18428125.0267543,1842812.50267543,1.84,0.18
"P Simran Singh","Batsman",52,1348,152.49,26.96,0,9.29654545454545,40106983.9327281,4010698.39327281,4.01,0.4
"PA Patel","Batsman",136,2841,120.89,23.48,0,9.29654545454545,68249964.500478,6824996.4500478,6.82,0.68
"PA Reddy","Batsman",10,164,102.5,16.4,0,9.29654545454545,4381180.27767936,438118.027767936,0.44,0.04
"PBB Rajapaksa","Batsman",13,276,145.26,23,0,9.29654545454545,15453990.2884788,1545399.02884788,1.55,0.15
"PC Valthaty","Batsman",23,499,120.53,22.68,7,8.15,12881324.4703693,1288132.44703693,1.29,0.13
"PD Collingwood","Batsman",7,203,130.13,50.75,5,6.81,2e+05,20000,0.02,0
"PD Salt","Batsman",34,1051,176.64,33.9,0,9.29654545454545,35290980.9529388,3529098.09529388,3.53,0.35
"PHKD Mendis","Batsman",5,91,133.82,22.75,2,8.57,6124133.4547115,612413.34547115,0.61,0.06
"PJ Cummins","All rounder",48,607,151.75,20.93,79,8.81,68438473.0527205,6843847.30527205,6.84,0.68
"PJ Sangwan","Bowler",14,26,59.09,3.71,38,8.69,15857109.4351992,1585710.94351992,1.59,0.16
"PK Garg","Batsman",19,269,113.03,14.94,0,9.29654545454545,11361607.4811177,1136160.74811177,1.14,0.11
"PM Sarvesh Kumar","Batsman",1,1,50,1,1,8.4,2e+05,20000,0.02,0
"PN Mankad","Batsman",5,97,134.72,32.33,0,9.29654545454545,552449.577749174,55244.9577749174,0.06,0.01
"PP Chawla","All rounder",86,623,111.05,11.75,192,7.96,121808286.470979,12180828.6470979,12.18,1.22
"PP Ojha","Bowler",19,16,36.36,1.78,89,7.37,33076895.8905278,3307689.58905278,3.31,0.33
"PP Shaw","Batsman",79,1890,147.77,24.87,0,9.29654545454545,53114956.351945,5311495.6351945,5.31,0.53
"PR Shah","Batsman",9,91,101.11,11.38,0,9.29654545454545,6135884.64679873,613588.464679873,0.61,0.06
"PSP Handscomb","Batsman",1,6,50,6,0,9.29654545454545,2e+05,20000,0.02,0
"PV Tambe","Bowler",6,18,47.37,18,28,7.75,2e+05,20000,0.02,0
"PVD Chameera","Batsman",10,53,126.19,17.67,13,9.84,17319007.8019014,1731900.78019014,1.73,0.17
"PVSN Raju","Batsman",1,1,100,1,1,13.25,26424588.0923744,2642458.80923744,2.64,0.26
"PWA Mulder","Batsman",1,9,81.82,9,0,16,23844323.5405066,2384432.35405066,2.38,0.24
"PWH de Silva","Bowler",19,81,92.05,5.79,46,8.41,29375804.9324915,2937580.49324915,2.94,0.29
"Pankaj Singh","Batsman",5,7,58.33,3.5,11,9.36,2962276.52280419,296227.652280419,0.3,0.03
"Parvez Rasool","Batsman",4,17,85,8.5,4,8.21,2e+05,20000,0.02,0
"Prince Yadav","Batsman",2,5,50,2.5,3,9.85,2e+05,20000,0.02,0
"Priyansh Arya","Batsman",18,545,182.89,30.28,0,9.29654545454545,28093600.0503726,2809360.00503726,2.81,0.28
"Q de Kock","Batsman",115,3304,134.04,31.47,0,9.29654545454545,77166391.8390705,7716639.18390705,7.72,0.77
"R Ashwin","All rounder",93,832,118.35,13.64,187,7.2,122165633.31509,12216563.331509,12.22,1.22
"R Bhatia","All rounder",47,342,120.42,11.79,71,7.41,49982708.7714287,4998270.87714287,5,0.5
"R Bishnoi","Batsman",3,19,111.76,6.33,0,9.29654545454545,11761461.375988,1176146.1375988,1.18,0.12
"R Dhawan","All rounder",22,210,112.3,21,25,8.08,14308313.195586,1430831.3195586,1.43,0.14
"R Dravid","Batsman",82,2173,115.71,28.97,0,9.29654545454545,46444314.233028,4644431.4233028,4.64,0.46
"R McLaren","Batsman",13,159,92.98,19.88,12,9.19,4693583.4518367,469358.34518367,0.47,0.05
"R Minz","Batsman",2,6,40,3,0,9.29654545454545,2e+05,20000,0.02,0
"R Ninan","Batsman",1,3,60,3,3,10.83,4661641.30045648,466164.130045648,0.47,0.05
"R Parag","Batsman",72,1565,142.14,27.46,7,9.7,46847292.3968262,4684729.23968262,4.68,0.47
"R Powell","Batsman",23,365,146.59,18.25,1,11.67,30723496.5363253,3072349.65363253,3.07,0.31
"R Rampaul","Batsman",7,50,102.04,10,16,6.92,6803152.28359384,680315.228359384,0.68,0.07
"R Ravindra","Batsman",18,408,143.66,25.5,0,3.5,2e+05,20000,0.02,0
"R Sai Kishore","Bowler",4,18,112.5,6,32,8.86,28163543.5170028,2816354.35170028,2.82,0.28
"R Sanjay Yadav","Batsman",1,0,0,0,0,11.5,2e+05,20000,0.02,0
"R Sathish","Batsman",24,269,116.96,16.81,3,10.01,15331238.0595923,1533123.80595923,1.53,0.15
"R Sharma","Bowler",19,66,88,6,40,7.02,19329936.0455056,1932993.60455056,1.93,0.19
"R Shepherd","Batsman",12,179,210.59,25.57,10,11.66,45784858.8861786,4578485.88861786,4.58,0.46
"R Shukla","Batsman",4,19,82.61,19,5,10.4,2e+05,20000,0.02,0
"R Tewatia","All rounder",76,1110,137.55,24.13,32,7.91,44468693.5920996,4446869.35920996,4.45,0.44
"R Vinay Kumar","All rounder",42,310,113.14,12.4,105,8.42,68620398.2096082,6862039.82096082,6.86,0.69
"RA Bawa","Batsman",3,19,105.56,9.5,0,9.29654545454545,7310991.63916612,731099.163916612,0.73,0.07
"RA Jadeja","All rounder",194,3243,130.29,28.2,170,7.67,164199343.45488,16419934.345488,16.42,1.64
"RA Tripathi","Batsman",98,2268,137.04,26.68,0,12,66913082.6404576,6691308.26404576,6.69,0.67
"RD Chahar","Bowler",22,129,104.03,8.6,75,7.72,45509012.5987277,4550901.25987277,4.55,0.46
"RD Gaikwad","Batsman",70,2494,137.71,41.57,0,9.29654545454545,51190510.8230751,5119051.08230751,5.12,0.51
"RD Rickelton","Batsman",14,388,152.16,29.85,0,9.29654545454545,14942746.1414846,1494274.61414846,1.49,0.15
"RE Levi","Batsman",6,83,113.7,13.83,0,9.29654545454545,8026350.77799479,802635.077799479,0.8,0.08
"RE van der Merwe","Bowler",15,159,112.77,15.9,21,6.74,10271227.8398729,1027122.78398729,1.03,0.1
"RG More","Batsman",1,2,100,2,1,10.11,14461646.5364745,1446164.65364745,1.45,0.14
"RG Sharma","Batsman",266,7004,131.73,29.93,15,8.02,169145908.127972,16914590.8127972,16.91,1.69
"RJ Gleeson","Batsman",1,2,100,2,2,9.71,13580966.8661377,1358096.68661377,1.36,0.14
"RJ Harris","Bowler",21,116,104.5,9.67,45,7.55,27508376.7083149,2750837.67083149,2.75,0.28
"RJ Peterson","Batsman",5,32,106.67,10.67,3,8.75,6745898.22437695,674589.822437695,0.67,0.07
"RJ Quiney","Batsman",7,103,100.98,14.71,0,9.29654545454545,3772830.20074128,377283.020074128,0.38,0.04
"RJW Topley","Batsman",1,3,50,3,5,11.1,3542384.81006055,354238.481006055,0.35,0.04
"RK Bhui","Batsman",4,10,38.46,2.5,0,9.29654545454545,2e+05,20000,0.02,0
"RK Singh","Batsman",51,1083,144.4,30.08,0,9.29654545454545,28802471.9580178,2880247.19580178,2.88,0.29
"RM Patidar","Batsman",38,1110,154.38,31.71,0,9.29654545454545,31337102.9942516,3133710.29942516,3.13,0.31
"RN ten Doeschate","Batsman",21,326,138.72,23.29,2,7.23,8056826.01373722,805682.601373722,0.81,0.08
"RP Meredith","Batsman",2,0,0,0,19,9.46,2e+05,20000,0.02,0
"RP Singh","Bowler",28,52,68.42,3.71,90,7.9,45040204.0366925,4504020.40366925,4.5,0.45
"RR Bhatkal","Batsman",1,0,0,0,0,17.5,10043754.2638889,1004375.42638889,1,0.1
"RR Pant","Batsman",123,3550,147.49,34.8,0,9.29654545454545,84672851.1273742,8467285.11273742,8.47,0.85
"RR Powar","Batsman",9,67,104.69,33.5,13,7.42,2e+05,20000,0.02,0
